경기순환,start,end,name1,name2
상승기,1972-03-01,1974-02-01,T,P
하강기,1974-02-01,1975-06-01,P,T
상승기,1975-06-01,1979-02-01,T,P
하강기,1979-02-01,1980-09-01,P,T
상승기,1980-09-01,1984-02-01,T,P
하강기,1984-02-01,1985-09-01,P,T
상승기,1985-09-01,1988-01-01,T,P
하강기,1988-01-01,1989-07-01,P,T
상승기,1989-07-01,1992-01-01,T,P
하강기,1992-01-01,1993-01-01,P,T
상승기,1993-01-01,1996-03-01,T,P
하강기,1996-03-01,1998-08-01,P,T
상승기,1998-08-01,2000-08-01,T,P
하강기,2000-08-01,2001-07-01,P,T
상승기,2001-07-01,2002-12-01,T,P
하강기,2002-12-01,2005-04-01,P,T
상승기,2005-04-01,2008-01-01,T,P
하강기,2008-01-01,2009-02-01,P,T
상승기,2009-02-01,2011-08-01,T,P
하강기,2011-08-01,2013-03-01,P,T
상승기,2013-03-01,2017-09-01,T,P
하강기,2017-09-01,2020-05-01,P,T
